,item_text,labels,distances
CSN8,I shirk my duties.,0,5.184464931488037
CSN6,I often forget to put things back in their proper place.,0,4.90559720993042
CSN5,I get chores done right away.,0,3.9968650341033936
CSN4,I make a mess of things.,0,5.237009525299072
CSN2,I leave my belongings around.,0,4.520904541015625
EST3,I worry about things.,0,5.32620906829834
OPN2,I have difficulty understanding abstract ideas.,1,4.8644280433654785
AGR7,I am not really interested in others.,1,4.5761027336120605
OPN4,I am not interested in abstract ideas.,1,4.716341018676758
AGR5,I am not interested in other people's problems.,1,6.293108940124512
OPN6,I do not have a good imagination.,1,4.019845008850098
EXT8,I don't like to draw attention to myself.,1,3.6883363723754883
EXT9,I don't mind being the center of attention.,1,5.324084281921387
EXT2,I don't talk a lot.,1,4.593536376953125
EXT10,I am quiet around strangers.,1,4.54150390625
AGR9,I feel others' emotions.,2,4.754286766052246
AGR10,I make people feel at ease.,2,4.804582118988037
AGR1,I feel little concern for others.,2,5.2227373123168945
EST10,I often feel blue.,2,5.507059097290039
AGR4,I sympathize with others' feelings.,2,5.7054643630981445
EST8,I have frequent mood swings.,2,4.8989081382751465
EST7,I change my mood a lot.,2,4.40343713760376
EXT3,I feel comfortable around people.,2,5.408491134643555
EST2,I am relaxed most of the time.,2,4.490690231323242
AGR6,I have a soft heart.,2,4.324074745178223
OPN8,I use difficult words.,3,5.183510780334473
EXT6,I have little to say.,3,5.001938819885254
EST1,I get stressed out easily.,3,6.990421772003174
AGR3,I insult people.,3,4.817990303039551
EST6,I get upset easily.,3,4.2261786460876465
EST5,I am easily disturbed.,3,4.301310062408447
EST4,I seldom feel blue.,3,6.230295658111572
EST9,I get irritated easily.,3,6.012734413146973
OPN5,I have excellent ideas.,4,5.276177406311035
CSN10,I am exacting in my work.,4,5.336349010467529
OPN7,I am quick to understand things.,4,5.919454574584961
OPN1,I have a rich vocabulary.,4,5.249807834625244
OPN3,I have a vivid imagination.,4,4.426098346710205
EXT1,I am the life of the party.,4,4.951375484466553
CSN7,I like order.,4,6.459088325500488
CSN3,I pay attention to details.,4,3.79194712638855
CSN1,I am always prepared.,4,6.411285877227783
AGR8,I take time out for others.,4,5.829080104827881
OPN9,I spend time reflecting on things.,4,4.663819789886475
AGR2,I am interested in people.,4,5.220615386962891
EXT7,I talk to a lot of different people at parties.,4,5.082756042480469
EXT5,I start conversations.,4,5.095689296722412
EXT4,I keep in the background.,4,4.461226940155029
CSN9,I follow a schedule.,4,5.029616355895996
OPN10,I am full of ideas.,4,4.20980167388916
